transaction_id,transaction_amount,payment_method,transaction_hour,delivery_time_days,device_type,ip_risk_score,customer_age,customer_region,num_previous_transactions,chargeback_history,account_tenure_days,preferred_language,num_items,discount_applied,cart_abandon_rate,time_on_site_sec,favourite_animal,astrological_sign,lucky_number,browser_theme_color,random_string,browser_version_str,fraudulent
1,37.54,paypal,7,3,mobile,40.5,19,EU,3,0,4660,pt,4,1,0.171,275,tiger,Sagittarius,29,green,r_5985,green_tiger,0
2,240.81,card,11,3,mobile,27.0,51,NA,1,1,2188,en,3,1,0.104,97,cat,Pisces,96,purple,r_8402,purple_cat,0
3,105.34,card,20,3,mobile,30.5,22,APAC,3,0,521,es,4,0,0.411,415,owl,Sagittarius,65,dark,r_5276,dark_owl,0
4,73.04,paypal,3,2,mobile,22.7,71,EU,1,0,2895,pt,6,0,0.125,257,elephant,Pisces,56,green,r_5568,green_elephant,0
5,13.57,bank_transfer,20,1,mobile,7.7,24,EU,3,0,4535,it,8,1,0.093,65,owl,Virgo,25,purple,r_2693,purple_owl,0
6,13.57,card,20,7,mobile,13.5,73,ME,4,0,3557,es,9,0,0.563,242,dog,Cancer,85,light,r_468,light_dog,0
7,4.79,card,12,7,mobile,23.7,73,EU,2,0,116,it,3,0,0.367,168,owl,Leo,61,dark,r_6646,dark_owl,1
8,160.9,apple_pay,2,3,desktop,38.2,71,NA,2,0,847,fr,4,1,0.149,56,owl,Taurus,20,blue,r_1679,blue_owl,1
9,73.53,card,19,2,desktop,41.7,30,EU,2,0,3414,en,3,0,0.419,190,tiger,Capricorn,87,dark,r_580,dark_tiger,1
10,98.5,card,3,1,mobile,17.8,36,NA,8,0,3829,en,1,0,0.151,361,elephant,Leo,82,dark,r_2739,dark_elephant,1
11,1.66,paypal,7,1,mobile,26.7,27,LATAM,3,0,4087,es,2,0,0.162,287,cat,Gemini,59,dark,r_5602,dark_cat,0
12,280.28,google_pay,4,1,desktop,16.6,47,APAC,2,0,4500,en,6,0,0.302,156,owl,Capricorn,7,light,r_6747,light_owl,0
13,142.91,bank_transfer,21,2,mobile,16.4,30,ME,3,0,1742,en,3,0,0.449,269,owl,Sagittarius,26,blue,r_9094,blue_owl,0
14,19.1,paypal,1,1,mobile,18.1,33,EU,3,0,2008,fr,6,1,0.524,199,tiger,Libra,70,purple,r_455,purple_tiger,0
15,16.05,card,7,2,desktop,10.1,35,EU,1,0,877,en,3,0,0.355,379,cat,Taurus,72,blue,r_8682,blue_cat,0
16,16.21,bank_transfer,23,3,mobile,19.7,43,NA,1,0,709,fr,2,0,0.398,462,cat,Scorpio,86,purple,r_6356,purple_cat,0
17,29.02,card,4,14,desktop,24.4,61,EU,5,0,3079,fr,5,1,0.098,291,cat,Aries,52,purple,r_4341,purple_cat,0
18,59.51,bank_transfer,15,1,mobile,45.8,22,NA,2,0,4932,en,5,0,0.119,320,rabbit,Taurus,88,dark,r_9103,dark_rabbit,0
19,45.24,card,20,2,desktop,11.1,58,NA,3,0,1391,fr,9,0,0.288,465,cat,Sagittarius,74,purple,r_1738,purple_cat,0
20,27.54,card,14,14,mobile,25.3,41,EU,2,0,2362,en,3,0,0.304,347,dog,Aries,49,dark,r_1745,dark_dog,0
21,75.71,card,18,7,tablet,21.6,35,EU,1,0,4169,en,4,0,0.335,105,elephant,Capricorn,69,light,r_1558,light_elephant,0
22,12.02,card,12,2,desktop,14.9,50,NA,2,0,664,it,1,0,0.466,332,owl,Leo,8,dark,r_9058,dark_owl,0
23,27.64,paypal,10,2,mobile,6.4,58,EU,5,0,2117,it,1,0,0.39,17,dog,Virgo,4,purple,r_7543,purple_dog,1
24,36.5,google_pay,15,1,desktop,7.2,56,APAC,7,0,488,en,3,0,0.232,232,elephant,Virgo,46,green,r_6398,green_elephant,0
25,48.71,paypal,17,1,desktop,17.9,73,EU,0,0,984,en,4,0,0.292,304,owl,Libra,83,purple,r_9818,purple_owl,0
26,123.03,bank_transfer,14,2,mobile,12.5,69,EU,3,0,2757,de,1,0,0.159,343,cat,Gemini,81,green,r_388,green_cat,0
27,17.82,card,5,2,desktop,39.7,75,APAC,0,0,2758,en,1,1,0.514,339,elephant,Taurus,59,light,r_776,light_elephant,0
28,57.76,paypal,7,5,mobile,33.5,53,EU,5,0,371,en,3,0,0.204,310,cat,Leo,96,purple,r_1407,purple_cat,0
29,71.8,bank_transfer,3,1,mobile,24.4,28,APAC,2,0,33,fr,8,0,0.279,192,tiger,Virgo,68,dark,r_2685,dark_tiger,0
30,3.81,paypal,20,5,mobile,36.6,25,NA,4,0,536,en,9,1,0.461,156,elephant,Sagittarius,56,purple,r_3611,purple_elephant,0
31,74.83,card,15,2,desktop,7.9,51,APAC,3,0,1704,en,3,1,0.179,217,owl,Sagittarius,26,blue,r_7381,blue_owl,0
32,14.96,paypal,20,3,tablet,4.9,76,NA,4,0,2482,en,1,0,0.413,76,rabbit,Aquarius,38,dark,r_3919,dark_rabbit,0
33,5.38,paypal,10,3,desktop,14.5,41,APAC,1,0,937,en,1,0,0.399,187,tiger,Gemini,92,blue,r_5464,blue_tiger,0
34,237.9,card,19,3,mobile,17.1,65,APAC,1,0,1719,it,7,0,0.169,224,rabbit,Aries,92,light,r_5765,light_rabbit,0
35,269.65,bank_transfer,1,1,tablet,7.8,34,APAC,3,0,3652,en,7,0,0.365,213,elephant,Virgo,4,purple,r_8077,purple_elephant,0
36,132.19,google_pay,21,2,mobile,27.0,37,LATAM,1,0,2084,it,1,1,0.232,60,tiger,Taurus,94,dark,r_6258,dark_tiger,0
37,29.06,card,3,1,mobile,52.8,28,NA,4,0,2256,en,5,0,0.696,154,owl,Cancer,14,green,r_5059,green_owl,0
38,8.22,paypal,13,3,mobile,17.8,42,EU,0,0,1955,en,6,0,0.36,331,tiger,Pisces,4,green,r_7114,green_tiger,0
39,92.22,paypal,10,1,tablet,18.2,55,APAC,3,0,242,fr,6,0,0.59,269,tiger,Capricorn,98,dark,r_3019,dark_tiger,0
40,46.41,paypal,3,3,desktop,4.9,77,EU,2,0,1352,fr,5,0,0.219,257,dog,Aries,25,blue,r_4021,blue_dog,0
41,10.41,card,2,1,mobile,30.1,77,APAC,2,0,4195,fr,8,0,0.426,110,cat,Aries,51,blue,r_1992,blue_cat,0
42,54.68,bank_transfer,23,2,desktop,27.4,47,EU,5,0,184,it,2,0,0.097,37,rabbit,Sagittarius,24,blue,r_7176,blue_rabbit,0
43,2.8,card,21,3,mobile,8.1,68,NA,3,0,3593,fr,1,0,0.696,325,dog,Scorpio,97,green,r_5499,green_dog,0
44,192.03,card,4,2,mobile,16.5,69,EU,7,0,2577,fr,1,0,0.099,325,tiger,Sagittarius,46,blue,r_8147,blue_tiger,0
45,23.96,bank_transfer,5,2,mobile,9.3,65,APAC,3,0,366,en,6,1,0.286,272,rabbit,Taurus,27,blue,r_9385,blue_rabbit,0
46,86.9,paypal,8,3,mobile,21.8,18,NA,0,0,386,en,7,0,0.251,171,rabbit,Libra,67,light,r_3541,light_rabbit,0
47,29.88,bank_transfer,3,5,mobile,13.2,24,NA,6,0,1424,en,1,0,0.64,215,cat,Scorpio,2,blue,r_915,blue_cat,0
48,58.73,card,6,2,desktop,30.7,44,EU,5,0,4170,de,2,0,0.2,245,elephant,Libra,31,green,r_8863,green_elephant,0
49,63.3,card,12,2,mobile,18.4,22,NA,1,0,3084,en,3,0,0.497,181,cat,Pisces,79,blue,r_1364,blue_cat,0
50,16.35,apple_pay,9,3,mobile,21.2,49,EU,1,0,2715,en,2,0,0.235,45,elephant,Aries,64,dark,r_2919,dark_elephant,0
51,279.42,card,11,14,desktop,6.3,23,APAC,2,0,1203,fr,2,0,0.363,170,dog,Sagittarius,77,purple,r_6892,purple_dog,0
52,119.38,bank_transfer,9,1,mobile,32.6,36,APAC,6,0,1605,en,4,0,0.162,186,owl,Libra,56,green,r_6216,green_owl,0
53,224.41,bank_transfer,10,3,mobile,32.8,51,EU,5,1,1214,de,2,0,0.234,69,dog,Taurus,45,blue,r_5617,blue_dog,0
54,180.17,paypal,10,7,mobile,8.8,40,EU,0,0,4880,en,4,0,0.571,189,rabbit,Aries,7,blue,r_756,blue_rabbit,0
55,72.88,card,21,2,mobile,11.2,69,APAC,7,0,176,en,3,0,0.186,65,elephant,Taurus,55,purple,r_1397,purple_elephant,0
56,203.95,paypal,5,2,mobile,31.5,26,APAC,3,0,2253,en,6,0,0.077,80,dog,Taurus,61,purple,r_5700,purple_dog,0
57,7.41,bank_transfer,5,3,mobile,29.1,53,APAC,1,0,4734,it,6,1,0.433,22,tiger,Aries,7,blue,r_70,blue_tiger,0
58,17.45,card,19,1,mobile,9.7,32,EU,2,0,4152,de,4,0,0.174,291,tiger,Libra,25,purple,r_5655,purple_tiger,0
59,3.7,card,5,2,mobile,12.9,50,EU,3,0,4753,en,4,0,0.376,271,tiger,Aries,15,blue,r_3680,blue_tiger,0
60,31.48,card,11,2,desktop,13.6,29,ME,1,0,1506,de,5,0,0.374,159,owl,Taurus,16,purple,r_3056,purple_owl,0
61,39.37,card,22,1,mobile,27.2,44,EU,2,0,4147,pt,8,0,0.315,196,tiger,Leo,72,green,r_8179,green_tiger,0
62,25.32,bank_transfer,13,1,mobile,7.1,28,EU,2,0,2181,en,1,0,0.175,125,rabbit,Aries,84,blue,r_8084,blue_rabbit,0
63,141.16,bank_transfer,17,5,desktop,20.2,59,EU,2,0,1443,fr,9,1,0.458,55,rabbit,Scorpio,33,blue,r_7423,blue_rabbit,0
64,35.3,google_pay,22,14,desktop,37.4,78,APAC,3,0,1328,en,6,1,0.174,257,elephant,Libra,77,green,r_5216,green_elephant,0
65,26.38,card,18,2,mobile,13.5,61,EU,5,0,725,en,7,1,0.171,109,cat,Capricorn,28,light,r_7801,light_cat,0
66,62.59,paypal,9,1,desktop,15.5,54,EU,2,0,3805,de,7,1,0.408,69,tiger,Aries,47,blue,r_1462,blue_tiger,0
67,12.15,card,9,5,desktop,28.4,67,APAC,4,0,1115,en,8,0,0.596,225,elephant,Pisces,58,purple,r_6237,purple_elephant,0
68,129.64,paypal,6,3,mobile,21.0,60,LATAM,1,0,385,en,9,1,0.256,327,tiger,Capricorn,43,blue,r_7832,blue_tiger,0
